,Unnamed: 0,id,trial_date,trial_hour,day_of_week,trial_country,subscription_date,sub_hour_start,sub_label,trial_dateTime,sub_dateTime,subLag,country_count,us,uk,can,aus,mon,tueSun,wedSat,thr,fri
14018,14018,5188d0b7e4b0c732a4963880,2013-05-07 00:00:00,6,Tuesday,Yemen,,,0,2013-05-07 06:00:00,,,2,0,0,0,0,0,1,0,0,0
6142,6142,5183e016e4b04fc5ce6dded2,2013-05-03 00:00:00,12,Friday,United States,,,0,2013-05-03 12:00:00,,,45149,1,0,0,0,0,0,0,0,1
70540,70540,51a76382e4b01abd05769411,2013-05-30 00:00:00,10,Thursday,Barbados,,,0,2013-05-30 10:00:00,,,12,0,0,0,0,0,0,0,1,0
45833,45833,519ab764e4b0c7e5084c4055,2013-05-20 00:00:00,19,Monday,United States,2013-08-30 00:00:00,20.0,1,2013-05-20 19:00:00,2013-08-30 20:00:00,102 days 01:00:00.000000000,45149,1,0,0,0,1,0,0,0,0
14106,14106,5188e1f8e4b035414d386cd3,2013-05-07 00:00:00,7,Tuesday,Denmark,,,0,2013-05-07 07:00:00,,,298,0,0,0,0,0,1,0,0,0
61939,61939,51a358ade4b0e2549bbf9dac,2013-05-27 00:00:00,8,Monday,United States,,,0,2013-05-27 08:00:00,,,45149,1,0,0,0,1,0,0,0,0
25538,25538,518f6367e4b0d1dfab7fdba4,2013-05-12 00:00:00,5,Sunday,Indonesia,,,0,2013-05-12 05:00:00,,,296,0,0,0,0,0,1,0,0,0
58422,58422,51a0cb80e4b022d3644169d8,2013-05-25 00:00:00,10,Saturday,United States,,,0,2013-05-25 10:00:00,,,45149,1,0,0,0,0,0,1,0,0
30399,30399,519249a5e4b050e186a028f2,2013-05-14 00:00:00,10,Tuesday,United States,,,0,2013-05-14 10:00:00,,,45149,1,0,0,0,0,1,0,0,0
42174,42174,519922bde4b0191970585071,2013-05-19 00:00:00,15,Sunday,United States,,,0,2013-05-19 15:00:00,,,45149,1,0,0,0,0,1,0,0,0
29242,29242,519188a6e4b03cb724dce9ec,2013-05-13 00:00:00,20,Monday,United States,,,0,2013-05-13 20:00:00,,,45149,1,0,0,0,1,0,0,0,0
58168,58168,51a06f8de4b0cddb28739dea,2013-05-25 00:00:00,4,Saturday,Germany,,,0,2013-05-25 04:00:00,,,843,0,0,0,0,0,0,1,0,0
28217,28217,51912cb9e4b0cf61a014466f,2013-05-13 00:00:00,14,Monday,United States,2013-05-13 00:00:00,21.0,1,2013-05-13 14:00:00,2013-05-13 21:00:00,0 days 07:00:00.000000000,45149,1,0,0,0,1,0,0,0,0
